id,nombre,definicion,area,subcategoria,fecha,etimologia,tags
bit,Bit,Unidad básica de información en computacion.,computacion,Hardware,1948,"Abreviatura de ""binary digit""","digital, binario"
algoritmo,Algoritmo,Conjunto ordenado de instrucciones para resolver un problema.,computacion,Programación,-825,En honor a al-Juarismi,"programación, matemáticas"
hardware,Hardware,Componentes físicos de un sistema informático.,computacion,Hardware,1940,Término acuñado en la industria,"físico, componentes"
software,Software,Conjunto de programas que hacen funcionar un ordenador.,computacion,Software,1958,Contraposición a hardware,"programas, aplicaciones"
internet,Internet,Red mundial de computadoras interconectadas.,redes,Internet,1969,Interconnected Network,"red, global"
realidadvirtual,realidadVirtual,Entorno generado por ordenador en el que el usuario puede interactuar.,realidadVirtual,Interacción,1968,Simulación virtual,"VR, inmersión"
inteligenciaartificial,inteligenciaArtificial,Capacidad de una máquina para imitar el comportamiento inteligente humano.,inteligenciaArtificial,Aprendizaje automático,1956,Simulación de la inteligencia,"AI, machine learning"
bigdata,bigData,Grandes volúmenes de datos que requieren tecnologías y métodos especiales para ser procesados.,bigData,Análisis de datos,2000,Gran cantidad de datos,"datos, análisis"
blockchain,Blockchain,Tecnología de registro distribuido que garantiza la seguridad y transparencia de las transacciones.,blockChain,Criptografía,2008,Cadena de bloques,"criptomoneda, descentralización"
robótica,Robótica,"Diseño, construcción y operación de robots.",robotica,Automatización,1921,"Del checo ""robot""","robot, automatización"
aprendizajeprofundo,Aprendizaje profundo,Subcampo del aprendizaje automático basado en redes neuronales artificiales.,inteligenciaArtificial,Aprendizaje automático,2006,Profundidad de las redes neuronales,"deep learning, redes neuronales"
redesneuronales,Redes neuronales,Modelo computacional inspirado en el cerebro humano.,inteligenciaArtificial,Aprendizaje automático,1943,Neuronas biológicas,"neuronas, cerebro"
visiónporcomputadora,Visión por computadora,Capacidad de las máquinas para interpretar y comprender imágenes del mundo real.,inteligenciaArtificial,Procesamiento de imágenes,1960,Visión humana,"imágenes, reconocimiento"
procesamientodellenguajenatural,Procesamiento del lenguaje natural,Interacción entre computadoras y lenguaje humano.,inteligenciaArtificial,Procesamiento de lenguaje,1950,"Lenguaje natural, computacion","NLP, lingüística computacional"
robóticacolaborativa,Robótica colaborativa,Robots diseñados para trabajar de forma segura y colaborativa con humanos.,robotica,Automatización,2008,Colaboración humano-robot,"cobots, industria"
framework,Framework,Estructura de trabajo que proporciona una base para el desarrollo de software.,desarrolloWeb,Frontend,2000,"Estructura, marco","framework, desarrollo"
api,API,Interfaz de programación de aplicaciones que permite la comunicación entre diferentes sistemas.,desarrolloWeb,Backend,1960,Interfaz de programación,"API, integración"
cms,CMS,Sistema de gestión de contenidos para crear y administrar sitios web.,desarrolloWeb,Backend,1996,Content Management System,"CMS, gestión de contenido"
responsivedesign,Responsive design,Diseño web que se adapta a diferentes tamaños de pantalla.,desarrolloWeb,Diseño web,2010,Respuesta a diferentes dispositivos,"responsive, móvil"
spa,SPA,"Aplicación de una sola página, que carga una sola vez y actualiza el contenido dinámicamente.",desarrolloWeb,Frontend,2010,Single Page Application,"SPA, JavaScript"
phishing,Phishing,Técnica de ingeniería social para obtener información confidencial.,seguridadInformatica,Ingeniería social,1990,Pesca,"fraude, estafa"
malware,Malware,Software malicioso diseñado para dañar o tomar el control de un sistema.,seguridadInformatica,Amenazas,1980,Malicious software,"virus, troyanos"
firewall,Firewall,Sistema de seguridad que monitorea y filtra el tráfico de red.,seguridadInformatica,Protección de redes,1980,Muro de fuego,"seguridad, red"
encriptación,Encriptación,Proceso de cifrar información para protegerla de accesos no autorizados.,seguridadInformatica,Criptografía,Antigua Roma,"Cifrado, seguridad","cifrado, clave"
pentesting,Pentesting,Pruebas de penetración para identificar vulnerabilidades en sistemas informáticos.,seguridadInformatica,Pruebas de seguridad,1980,Penetration testing,"hacking ético, seguridad"
datamining,Data mining,Proceso de descubrir patrones en grandes conjuntos de datos.,cienciaDatos,Análisis de datos,1990,Minería de datos,"patrones, descubrimiento"
machinelearning,Machine learning,Subcampo de la inteligenciaArtificial que permite a las máquinas aprender de los datos sin ser programadas explícitamente.,inteligenciaArtificial,Aprendizaje automático,1959,Aprendizaje de máquinas,"AI, aprendizaje"
overfitting,Overfitting,"Situación en la que un modelo se ajusta demasiado a los datos de entrenamiento, perdiendo capacidad de generalización.",cienciaDatos,Modelado estadístico,1990,Sobreajuste,"modelo, datos"
underfitting,Underfitting,"Situación en la que un modelo no se ajusta lo suficiente a los datos de entrenamiento, perdiendo precisión.",cienciaDatos,Modelado estadístico,1990,Subajuste,"modelo, datos"
featureengineering,Feature engineering,Proceso de seleccionar y transformar variables para mejorar el rendimiento de un modelo de machine learning.,inteligenciaArtificial,Ingeniería de características,2000,Ingeniería de características,"datos, modelo"
nft,NFT,Token no fungible que representa la propiedad única de un activo digital.,blockChain,Criptomonedas,2014,Non-Fungible Token,"token, único"
defi,DeFi,"Finanzas descentralizadas, sistemas financieros construidos sobre tecnología blockchain.",blockChain,Finanzas,2019,Decentralized Finance,"finanzas, blockchain"
smartcontract,Smart contract,Contrato autoejecutable con las condiciones directamente escritas en líneas de código.,blockChain,Contratos inteligentes,1994,Contrato inteligente,"contrato, blockchain"
wallet,Wallet,Cartera digital para almacenar y gestionar criptomonedas.,blockChain,Criptomonedas,2009,Cartera,"criptomoneda, almacenamiento"
mining,Mining,Proceso de verificar transacciones en una blockchain y generar nuevas criptomonedas.,blockChain,Minería,2009,Minería,"blockchain, criptomonedas"
realidadaumentada,Realidad aumentada,Tecnología que superpone información digital al mundo real en tiempo real.,realidadVirtual,Interacción,1990,"Aumentada, realidad","AR, realidad mixta"
metaverso,Metaverso,"Universo virtual compartido, creado por la convergencia de múltiples espacios virtuales.",realidadVirtual,Metaverso,2021,Más allá del universo,"virtual, universo"
avatar,Avatar,Representación virtual de un usuario en un mundo virtual.,realidadVirtual,Interacción,1985,Avatar,"representación, virtual"
hmd,HMD,Dispositivo de realidadVirtual que cubre los ojos y los oídos del usuario.,realidadVirtual,Hardware,1968,Head-Mounted Display,"visor, VR"
motiontracking,Motion tracking,Seguimiento del movimiento de objetos o personas en un espacio físico.,realidadVirtual,Interacción,1980,Seguimiento de movimiento,"movimiento, seguimiento"
iot,IoT,"Internet de las Cosas, red de dispositivos físicos conectados a internet.",IoT,Conectividad,1999,Internet of Things,"dispositivos conectados, sensores"
sensor,Sensor,Dispositivo que detecta cambios en su entorno y envía datos.,IoT,Hardware,1950,Sensor,"medición, detección"
actuador,Actuador,Dispositivo que realiza una acción en respuesta a una señal.,IoT,Hardware,1950,Actuador,"control, acción"
nubeiot,Nube IoT,Plataforma en la nube para gestionar y analizar datos de dispositivos IoT.,IoT,Plataforma,2010,Nube de IoT,"plataforma, datos"
edgecomputing,Edge computing,Procesamiento de datos cerca de la fuente en lugar de en un centro de datos remoto.,IoT,computacion,2010,computacion en el borde,"borde, computacion"
ransomware,Ransomware,Software malicioso que cifra los archivos de un sistema y exige un rescate para descifrarlos.,Ciberseguridad,Malware,2005,Ransom + software,"secuestro de datos, cifrado"
ingenieríasocial,Ingeniería social,Técnica utilizada por atacantes para manipular a las personas y obtener información confidencial.,Ciberseguridad,Ataques sociales,1950,"Ingeniería, social","manipulación, fraude"
vulnerabilidad,Vulnerabilidad,Debilidad en un sistema que puede ser explotada por un atacante.,Ciberseguridad,Debilidades,1970,Vulnerabilidad,"riesgo, seguridad"
parche,Parche,Corrección de software diseñada para solucionar una vulnerabilidad.,Ciberseguridad,Mantenimiento,1960,Parche,"corrección, seguridad"
zero-dayexploit,Zero-day exploit,Explotación de una vulnerabilidad desconocida para el proveedor del software.,Ciberseguridad,Ataques,2000,Día cero,"vulnerabilidad, ataque"
scrum,Scrum,"Marco de trabajo para la gestión de proyectos ágiles, enfocado en la colaboración y la adaptación.",desarrolloSoftware,Metodologías ágiles,1995,Scrum,"ágil, equipo"
agile,Agile,"Metodología de desarrollo de software que enfatiza la flexibilidad, la colaboración y la entrega incremental.",desarrolloSoftware,Metodologías ágiles,2001,"Ágil, flexible","desarrollo ágil, iterativo"
kanban,Kanban,Método visual para organizar el trabajo y mejorar el flujo.,desarrolloSoftware,Metodologías ágiles,1940,Kanban,"tablero, visual"
waterfall,Waterfall,Modelo de desarrollo de software lineal y secuencial.,desarrolloSoftware,Metodologías tradicionales,1970,Cascada,"secuencial, lineal"
sprint,Sprint,"Iteración de tiempo fijo en Scrum, durante el cual se completa un conjunto de trabajo.",desarrolloSoftware,Scrum,1995,Sprint,"iteración, tiempo fijo"
ux,UX,"Experiencia de usuario, cómo se siente un usuario al interactuar con un producto.",desarrolloWeb,Experiencia,1990,User Experience,UX/UI
ui,UI,"Interfaz de usuario, elementos visuales y de interacción de un producto.",desarrolloWeb,Interfaz,1980,User Interface,UX/UI
wireframe,Wireframe,Esquema básico de una interfaz de usuario que muestra la estructura y el layout.,desarrolloWeb,Diseño,1990,Marco de alambre,UX/UI
prototipo,Prototipo,Versión inicial de un producto que permite evaluar y refinar el diseño.,desarrolloWeb,Diseño,1960,Prototipo,UX/UI
heurística,Heurística,Principio general que se utiliza para evaluar la usabilidad de una interfaz de usuario.,desarrolloWeb,Evaluación,1980,Heurística,"evaluación, usabilidad"
sql,SQL,"Lenguaje de consulta estructurado, utilizado para gestionar y manipular bases de datos relacionales.",desarrolloWeb,Lenguajes,1974,Structured Query Language,"SQL, bases de datos relacionales"
nosql,NoSQL,Categoría de sistemas de gestión de bases de datos que no se ajustan al modelo relacional.,desarrolloWeb,No relacionales,2009,Not Only SQL,"bases de datos no relacionales, bigData"
orm,ORM,"Mapeador objeto-relacional, herramienta que permite mapear objetos de un lenguaje de programación a tablas de una base de datos.",desarrolloWeb,Desarrollo,1990,Object-Relational Mapper,"ORM, mapeo"
transacción,Transacción,Unidad de trabajo atómica en una base de datos que garantiza la consistencia de los datos.,desarrolloWeb,Concurrencia,1970,Transacción,"ACID, base de datos"
índices,Índices,Estructuras de datos que aceleran la búsqueda de registros en una base de datos.,desarrolloWeb,Optimización,1960,Índice,"búsqueda, optimización"
tcp/ip,TCP/IP,"Protocolo de transmisión de control/Protocolo de internet, conjunto de protocolos que permite la comunicación en internet.",redes,Protocolos,1974,Transmission Control Protocol/Internet Protocol,"TCP/IP, internet"
dns,DNS,"Sistema de nombres de dominio, servicio que traduce nombres de dominio a direcciones IP.",redes,Nombres de dominio,1983,Domain Name System,"DNS, nombres de dominio"
router,Router,Dispositivo de red que enruta paquetes de datos entre diferentes redes.,redes,Hardware,1970,Router,"enrutamiento, red"
switch,Switch,Dispositivo de red que conecta múltiples dispositivos en una red local.,redes,Hardware,1970,Switch,"conmutador, red"
vlan,VLAN,"Red de área local virtual, segmentación lógica de una red física.",redes,Segmentación,1990,Virtual Local Area Network,"VLAN, segmentación"
ide,IDE,"Entorno de desarrollo integrado, aplicación que proporciona un conjunto completo de herramientas para desarrollar software.",desarrolloSoftware,Herramientas,1970,Integrated Development Environment,"IDE, desarrollo"
debugging,Debugging,Proceso de encontrar y corregir errores en un programa.,desarrolloSoftware,Pruebas,1940,Depuración,"depuración, errores"
refactoring,Refactoring,Proceso de mejorar la estructura interna de un código sin cambiar su comportamiento externo.,desarrolloSoftware,Diseño,1990,Refactorización,"código, mejora"
testing,Testing,Proceso de evaluar un producto para verificar que cumple con los requisitos.,desarrolloSoftware,Pruebas,1950,Prueba,"pruebas, calidad"
ci/cd,CI/CD,"Integración continua/Entrega continua, prácticas que automatizan el proceso de desarrollo de software.",desarrolloSoftware,Metodologías ágiles,2000,Continuous Integration/Continuous Delivery,"CI/CD, automatización"
datawrangling,Data Wrangling,"Proceso de limpiar, transformar y estructurar datos para análisis.",cienciaDatos,Preparación de datos,2000,Lucha con datos,"limpieza de datos, transformación"
featurescaling,Feature Scaling,Proceso de escalar los valores de las características para mejorar el rendimiento de los modelos.,cienciaDatos,Preprocesamiento,2000,Escalado de características,"normalización, estandarización"
overfitting,Overfitting,"Situación en la que un modelo se ajusta demasiado a los datos de entrenamiento, perdiendo capacidad de generalización.",cienciaDatos,Modelado,1990,Sobreajuste,"modelo, generalización"
underfitting,Underfitting,"Situación en la que un modelo no se ajusta lo suficiente a los datos de entrenamiento, perdiendo precisión.",cienciaDatos,Modelado,1990,Subajuste,"modelo, precisión"
bias-variancetradeoff,Bias-Variance Tradeoff,Compromiso entre el sesgo (error sistemático) y la varianza (error aleatorio) en un modelo.,cienciaDatos,Modelado,1970,Sesgo-varianza,"modelo, error"
aprendizajeporrefuerzo,Aprendizaje por refuerzo,Método de aprendizaje automático donde un agente aprende a tomar acciones en un entorno para maximizar una recompensa.,inteligenciaArtificial,Aprendizaje automático,1950,"Refuerzo, aprendizaje","RL, recompensa"
